user,source,destination
0,0,7
0,7,1
0,1,8
0,8,9
0,9,1
0,1,7
0,7,3
0,3,7
0,7,1
0,1,9
1,9,3
1,3,8
1,8,6
1,6,2
1,2,7
1,7,2
1,2,8
1,8,5
1,5,8
1,8,6
2,6,8
2,8,4
2,4,9
2,9,6
2,6,4
2,4,5
2,5,0
2,0,3
2,3,7
2,7,1
3,1,7
3,7,2
3,2,0
3,0,3
3,3,7
3,7,3
3,3,7
3,7,3
3,3,7
3,7,2
4,2,8
4,8,3
4,3,6
4,6,8
4,8,9
4,9,6
4,6,1
4,1,9
4,9,6
4,6,9
5,9,1
5,1,9
5,9,1
5,1,7
5,7,0
5,0,8
5,8,9
5,9,5
5,5,2
5,2,0
6,0,7
6,7,2
6,2,7
6,7,6
6,6,9
6,9,8
6,8,0
6,0,4
6,4,6
6,6,2
7,2,5
7,5,0
7,0,2
7,2,0
7,0,8
7,8,3
7,3,5
7,5,8
7,8,6
7,6,0
8,0,2
8,2,6
8,6,5
8,5,1
8,1,9
8,9,5
8,5,4
8,4,5
8,5,6
8,6,2
9,2,3
9,3,2
9,2,1
9,1,9
9,9,6
9,6,5
9,5,1
9,1,2
9,2,0
9,0,5
10,5,2
10,2,7
10,7,2
10,2,0
10,0,1
10,1,0
10,0,7
10,7,2
10,2,5
10,5,8
11,8,9
11,9,1
11,1,7
11,7,1
11,1,0
11,0,7
11,7,1
11,1,3
11,3,7
11,7,4
12,4,5
12,5,8
12,8,3
12,3,8
12,8,1
12,1,9
12,9,6
12,6,2
12,2,9
12,9,6
13,6,2
13,2,1
13,1,7
13,7,0
13,0,2
13,2,3
13,3,5
13,5,2
13,2,1
13,1,7
14,7,6
14,6,2
14,2,5
14,5,0
14,0,7
14,7,2
14,2,5
14,5,1
14,1,0
14,0,5
15,5,2
15,2,9
15,9,6
15,6,8
15,8,9
15,9,0
15,0,6
15,6,5
15,5,9
15,9,2
16,2,1
16,1,0
16,0,1
16,1,9
16,9,6
16,6,8
16,8,3
16,3,7
16,7,0
16,0,5
17,5,9
17,9,8
17,8,3
17,3,9
17,9,1
17,1,9
17,9,8
17,8,9
17,9,6
17,6,8
18,8,3
18,3,8
18,8,6
18,6,0
18,0,4
18,4,1
18,1,9
18,9,3
18,3,6
18,6,7
19,7,2
19,2,0
19,0,8
19,8,2
19,2,5
19,5,1
19,1,0
19,0,8
19,8,9
19,9,8
20,8,9
20,9,7
20,7,2
20,2,0
20,0,4
20,4,1
20,1,0
20,0,1
20,1,8
20,8,0
21,0,8
21,8,1
21,1,0
21,0,1
21,1,8
21,8,3
21,3,5
21,5,4
21,4,8
21,8,6
22,6,2
22,2,0
22,0,1
22,1,3
22,3,2
22,2,3
22,3,8
22,8,6
22,6,2
22,2,3
23,3,1
23,1,8
23,8,0
23,0,7
23,7,4
23,4,7
23,7,1
23,1,3
23,3,7
23,7,1
24,1,3
24,3,1
24,1,3
24,3,0
24,0,8
24,8,0
24,0,5
24,5,2
24,2,5
24,5,9
25,9,6
25,6,0
25,0,5
25,5,3
25,3,6
25,6,8
25,8,3
25,3,1
25,1,3
25,3,9
26,9,1
26,1,9
26,9,4
26,4,2
26,2,8
26,8,4
26,4,6
26,6,3
26,3,9
26,9,6
27,6,8
27,8,3
27,3,8
27,8,6
27,6,2
27,2,0
27,0,8
27,8,9
27,9,3
27,3,7
28,7,6
28,6,4
28,4,9
28,9,5
28,5,8
28,8,9
28,9,8
28,8,1
28,1,7
28,7,2
29,2,0
29,0,5
29,5,2
29,2,8
29,8,0
29,0,9
29,9,3
29,3,5
29,5,0
29,0,2
30,2,3
30,3,9
30,9,1
30,1,9
30,9,8
30,8,4
30,4,2
30,2,1
30,1,7
30,7,0
31,0,1
31,1,3
31,3,1
31,1,2
31,2,1
31,1,2
31,2,0
31,0,1
